epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5214,4.72317,7.03133,3.81632,0.00359,0.19985,0.00312,0.00067,3.20933,4.51288,2.84782,5.94465e-05,5.94465e-05,5.94465e-05
2,114.812,2.92499,4.85843,2.38327,0.01019,0.71722,0.01804,0.00571,2.39358,3.35346,1.88997,0.000117299,0.000117299,0.000117299
3,170.358,2.35474,3.96485,1.85053,0.01297,0.89891,0.03626,0.01462,2.0623,3.12297,1.62273,0.000173334,0.000173334,0.000173334
4,226.091,1.97658,3.42957,1.57071,0.10475,0.18611,0.06065,0.03596,1.44149,2.69459,1.26191,0.000170821,0.000170821,0.000170821
5,281.842,1.74473,3.09789,1.40681,0.09332,0.29943,0.0944,0.06178,1.24721,2.49568,1.15325,0.000168095,0.000168095,0.000168095
6,338.536,1.63794,2.86202,1.33038,0.10255,0.42595,0.13479,0.08419,1.30862,2.42651,1.15312,0.000165368,0.000165368,0.000165368
7,396.119,1.56704,2.69201,1.28342,0.13278,0.30457,0.11631,0.06804,1.53901,2.72251,1.25767,0.000162642,0.000162642,0.000162642
8,452.013,1.52241,2.54721,1.25464,0.1958,0.46746,0.22297,0.15035,1.16393,2.07821,1.07999,0.000159916,0.000159916,0.000159916
9,506.528,1.49846,2.4483,1.23299,0.22454,0.47728,0.28054,0.17825,1.29606,1.98971,1.13497,0.00015719,0.00015719,0.00015719
10,560.522,1.48409,2.34748,1.21763,0.22007,0.4866,0.3001,0.18327,1.42053,1.93917,1.1796,0.000154463,0.000154463,0.000154463
11,615.433,1.45751,2.26175,1.20166,0.26615,0.54718,0.33249,0.21692,1.24209,1.85882,1.10046,0.000151737,0.000151737,0.000151737
12,670.035,1.44816,2.17975,1.19672,0.31037,0.57887,0.39771,0.26941,1.1755,1.72218,1.07307,0.000149011,0.000149011,0.000149011
13,724.537,1.43453,2.10688,1.18929,0.31875,0.57985,0.40379,0.26136,1.25727,1.72994,1.10039,0.000146284,0.000146284,0.000146284
14,778.679,1.41953,2.02602,1.17875,0.38311,0.62901,0.48027,0.30282,1.33984,1.59016,1.13326,0.000143558,0.000143558,0.000143558
15,833.169,1.41147,1.96386,1.1751,0.39916,0.64146,0.49391,0.33638,1.15923,1.53869,1.06433,0.000140832,0.000140832,0.000140832
16,889.927,1.40553,1.89834,1.17018,0.4659,0.67727,0.57163,0.37789,1.23223,1.41328,1.08644,0.000138105,0.000138105,0.000138105
17,944.571,1.39254,1.82099,1.16501,0.50399,0.69472,0.61798,0.41728,1.19547,1.34505,1.07657,0.000135379,0.000135379,0.000135379
18,999.112,1.38532,1.77463,1.16362,0.48923,0.69317,0.61969,0.42524,1.14916,1.3427,1.0619,0.000132653,0.000132653,0.000132653
19,1053.23,1.3791,1.71895,1.15965,0.57628,0.73407,0.70528,0.46036,1.27513,1.22543,1.10002,0.000129926,0.000129926,0.000129926
20,1107.39,1.37674,1.67545,1.15554,0.59425,0.75589,0.72199,0.50687,1.11119,1.18574,1.04034,0.0001272,0.0001272,0.0001272
21,1161.14,1.36947,1.62,1.14818,0.63726,0.76387,0.75336,0.47097,1.36912,1.1611,1.13614,0.000124474,0.000124474,0.000124474
22,1215.58,1.36636,1.57974,1.14947,0.67286,0.79112,0.79332,0.52121,1.25862,1.0911,1.09318,0.000121748,0.000121748,0.000121748
23,1270.77,1.36345,1.54904,1.14336,0.70453,0.78964,0.81479,0.54146,1.24798,1.04129,1.08989,0.000119021,0.000119021,0.000119021
24,1325.28,1.35777,1.50196,1.13997,0.70562,0.79002,0.82049,0.52301,1.35172,1.054,1.12847,0.000116295,0.000116295,0.000116295
25,1379.51,1.35652,1.47381,1.14133,0.75074,0.80382,0.84989,0.58096,1.18175,0.96439,1.062,0.000113569,0.000113569,0.000113569
26,1434.5,1.34956,1.43788,1.13998,0.77993,0.81706,0.87243,0.59243,1.20475,0.94074,1.07608,0.000110842,0.000110842,0.000110842
27,1489.17,1.34795,1.41137,1.13841,0.78034,0.8323,0.88144,0.59822,1.1889,0.9145,1.06848,0.000108116,0.000108116,0.000108116
28,1545.01,1.33833,1.37027,1.13636,0.80265,0.85126,0.89527,0.63913,1.07803,0.86902,1.02755,0.00010539,0.00010539,0.00010539
29,1599.68,1.34238,1.35022,1.13219,0.79541,0.86712,0.90612,0.61801,1.18191,0.87637,1.05827,0.000102663,0.000102663,0.000102663
30,1653.79,1.33576,1.33139,1.13334,0.81951,0.85751,0.91404,0.61321,1.22224,0.85147,1.07033,9.99371e-05,9.99371e-05,9.99371e-05
31,1707.82,1.33018,1.29454,1.1349,0.83508,0.87421,0.9242,0.61529,1.25512,0.82676,1.08611,9.72108e-05,9.72108e-05,9.72108e-05
32,1762.47,1.32928,1.27747,1.12778,0.85658,0.86994,0.93358,0.62826,1.23235,0.80077,1.08105,9.44845e-05,9.44845e-05,9.44845e-05
33,1816.23,1.33084,1.26084,1.12559,0.86936,0.89153,0.94147,0.62724,1.24908,0.78003,1.08235,9.17582e-05,9.17582e-05,9.17582e-05
34,1869.7,1.32685,1.24189,1.12551,0.86143,0.89974,0.94404,0.63288,1.23188,0.77623,1.07703,8.90318e-05,8.90318e-05,8.90318e-05
