epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2692.51,4.50176,6.83402,3.64456,0.0035,0.22406,0.00355,0.00078,3.13934,5.36045,2.63694,5.95564e-05,5.95564e-05,5.95564e-05
2,5231.1,2.86819,4.77479,2.29685,0.00949,0.70598,0.016,0.00524,2.27131,3.98835,1.8189,0.000113322,0.000113322,0.000113322
3,7736.03,2.27687,3.92511,1.80368,0.01289,0.90594,0.03593,0.01715,1.82081,3.4967,1.48821,0.00016118,0.00016118,0.00016118
4,10172.8,1.93477,3.45946,1.55177,0.05029,0.24263,0.05869,0.03266,1.53675,3.0036,1.29353,0.000152418,0.000152418,0.000152418
5,12574.2,1.74543,3.13667,1.41719,0.06844,0.39978,0.07796,0.04696,1.36366,2.8167,1.21092,0.000143558,0.000143558,0.000143558
6,15034.7,1.65318,2.94067,1.34537,0.09496,0.34459,0.11729,0.07078,1.40169,2.57911,1.19512,0.000134697,0.000134697,0.000134697
7,17470,1.58441,2.78397,1.29496,0.13396,0.395,0.15692,0.10003,1.29626,2.4413,1.13871,0.000125837,0.000125837,0.000125837
8,19889.1,1.5455,2.6711,1.26783,0.13991,0.42169,0.17864,0.11361,1.28943,2.36256,1.132,0.000116976,0.000116976,0.000116976
9,22310.3,1.51517,2.58299,1.24654,0.1711,0.43249,0.20643,0.1266,1.3956,2.24496,1.17518,0.000108116,0.000108116,0.000108116
10,24773.6,1.49285,2.50609,1.23684,0.18174,0.5028,0.23528,0.14376,1.42691,2.19395,1.17567,9.92555e-05,9.92555e-05,9.92555e-05
11,27195.1,1.40011,2.34671,1.27088,0.20879,0.5064,0.27111,0.17018,1.33224,2.06007,1.14229,9.0395e-05,9.0395e-05,9.0395e-05
12,29565.6,1.38555,2.2609,1.25942,0.23674,0.53555,0.29881,0.19214,1.28206,1.98567,1.11924,8.15345e-05,8.15345e-05,8.15345e-05
13,31961,1.37746,2.18678,1.25253,0.26309,0.55819,0.32661,0.19989,1.41054,1.94072,1.16553,7.2674e-05,7.2674e-05,7.2674e-05
14,34335.1,1.37196,2.12613,1.2492,0.29066,0.56868,0.36,0.23787,1.24143,1.8537,1.09331,6.38135e-05,6.38135e-05,6.38135e-05
15,36715.4,1.36879,2.0734,1.24619,0.31486,0.5866,0.38895,0.24444,1.36608,1.79847,1.13814,5.4953e-05,5.4953e-05,5.4953e-05
16,39084.1,1.36293,2.02323,1.2362,0.31685,0.60918,0.4001,0.2623,1.24967,1.75265,1.09793,4.60925e-05,4.60925e-05,4.60925e-05
17,41460,1.35441,1.97814,1.23447,0.33657,0.61103,0.41304,0.27386,1.23545,1.724,1.08794,3.7232e-05,3.7232e-05,3.7232e-05
18,43832.6,1.35514,1.949,1.23475,0.35791,0.63664,0.44181,0.2881,1.26071,1.69106,1.10431,2.83715e-05,2.83715e-05,2.83715e-05
19,46209.7,1.34788,1.91678,1.22942,0.35781,0.62829,0.44766,0.27939,1.36875,1.67748,1.14283,1.9511e-05,1.9511e-05,1.9511e-05
20,48577.5,1.34565,1.89988,1.23006,0.36958,0.64237,0.4522,0.29016,1.31329,1.66008,1.11901,1.06505e-05,1.06505e-05,1.06505e-05
