epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6316,4.72317,7.03133,3.81632,0.00359,0.19985,0.00312,0.00067,3.20933,4.51288,2.84782,5.94465e-05,5.94465e-05,5.94465e-05
2,112.942,2.92888,4.86337,2.38585,0.00967,0.68672,0.01714,0.00525,2.40547,3.41465,1.91079,0.000116755,0.000116755,0.000116755
3,167.739,2.36388,3.98245,1.85812,0.01301,0.91227,0.03967,0.01642,2.00287,3.08363,1.60511,0.0001717,0.0001717,0.0001717
4,222.563,1.98321,3.44736,1.57751,0.07281,0.23042,0.05895,0.03557,1.41881,2.70559,1.26276,0.000168367,0.000168367,0.000168367
5,277.195,1.75175,3.10397,1.41134,0.08943,0.2922,0.09261,0.05692,1.35851,2.503,1.20856,0.000164823,0.000164823,0.000164823
6,331.891,1.63912,2.87131,1.33222,0.10588,0.40102,0.12993,0.08043,1.32491,2.40947,1.16139,0.000161279,0.000161279,0.000161279
7,386.403,1.56895,2.69857,1.28472,0.10131,0.36,0.11902,0.06953,1.51825,2.60945,1.23854,0.000157735,0.000157735,0.000157735
8,440.925,1.52254,2.56149,1.25541,0.18604,0.4462,0.21486,0.14494,1.16031,2.08254,1.07656,0.000154191,0.000154191,0.000154191
9,495.546,1.50095,2.4571,1.23461,0.21236,0.45863,0.27083,0.17393,1.26918,1.99239,1.12476,0.000150646,0.000150646,0.000150646
10,550.085,1.48302,2.3555,1.218,0.2346,0.52489,0.30062,0.18273,1.39933,1.9236,1.17191,0.000147102,0.000147102,0.000147102
11,604.607,1.4581,2.27234,1.20186,0.27853,0.54156,0.34127,0.22422,1.23539,1.81714,1.102,0.000143558,0.000143558,0.000143558
12,659.139,1.4474,2.19115,1.19634,0.29853,0.55217,0.36697,0.24695,1.17489,1.79231,1.07502,0.000140014,0.000140014,0.000140014
13,713.675,1.4333,2.12105,1.19003,0.32594,0.56793,0.3974,0.25386,1.30629,1.73029,1.11916,0.00013647,0.00013647,0.00013647
14,768.269,1.4201,2.03597,1.17946,0.36907,0.63959,0.47226,0.29869,1.32321,1.58613,1.13237,0.000132925,0.000132925,0.000132925
15,822.805,1.41317,1.97792,1.17651,0.38956,0.67871,0.51558,0.35736,1.11321,1.49747,1.0513,0.000129381,0.000129381,0.000129381
16,877.358,1.40701,1.91083,1.17169,0.45674,0.68474,0.55938,0.3763,1.1855,1.42783,1.07295,0.000125837,0.000125837,0.000125837
17,931.845,1.39367,1.8441,1.16618,0.47483,0.70342,0.5898,0.3952,1.21177,1.38528,1.08208,0.000122293,0.000122293,0.000122293
18,986.315,1.38464,1.7941,1.16427,0.4953,0.72512,0.62845,0.42243,1.19911,1.32757,1.07684,0.000118749,0.000118749,0.000118749
19,1040.94,1.37979,1.7385,1.16056,0.55702,0.7405,0.68771,0.45499,1.23583,1.24936,1.08545,0.000115204,0.000115204,0.000115204
20,1095.43,1.37674,1.69591,1.15619,0.62047,0.73141,0.71393,0.49303,1.13616,1.20348,1.04897,0.00011166,0.00011166,0.00011166
21,1149.93,1.3694,1.64877,1.14898,0.63559,0.75493,0.74644,0.48164,1.30446,1.17401,1.11189,0.000108116,0.000108116,0.000108116
22,1204.4,1.36837,1.60622,1.15045,0.64423,0.75589,0.75635,0.49692,1.25096,1.14601,1.08915,0.000104572,0.000104572,0.000104572
23,1258.9,1.36457,1.58044,1.14449,0.70247,0.76456,0.79701,0.53315,1.21872,1.07944,1.08242,0.000101028,0.000101028,0.000101028
24,1313.42,1.36008,1.53552,1.14161,0.70552,0.79255,0.8163,0.52907,1.3058,1.06678,1.11226,9.74834e-05,9.74834e-05,9.74834e-05
25,1367.99,1.35932,1.50866,1.14259,0.72804,0.79632,0.83291,0.56305,1.19815,1.01489,1.07037,9.39392e-05,9.39392e-05,9.39392e-05
26,1422.6,1.35195,1.48081,1.1416,0.74142,0.79169,0.84296,0.58164,1.16827,0.99231,1.06315,9.0395e-05,9.0395e-05,9.0395e-05
27,1477.14,1.35126,1.45494,1.1405,0.7547,0.81106,0.8569,0.58761,1.17092,0.96606,1.06336,8.68508e-05,8.68508e-05,8.68508e-05
28,1531.66,1.3404,1.41412,1.13722,0.77422,0.83202,0.87448,0.62443,1.08585,0.9221,1.03139,8.33066e-05,8.33066e-05,8.33066e-05
29,1586.23,1.34651,1.39684,1.13361,0.79621,0.82743,0.88932,0.60545,1.18928,0.91093,1.06262,7.97624e-05,7.97624e-05,7.97624e-05
30,1640.75,1.33627,1.37373,1.13407,0.80985,0.81058,0.89038,0.61521,1.15266,0.90034,1.04959,7.62182e-05,7.62182e-05,7.62182e-05
31,1695.34,1.33218,1.34135,1.13603,0.83183,0.83787,0.90726,0.60309,1.26439,0.88112,1.08974,7.2674e-05,7.2674e-05,7.2674e-05
32,1749.78,1.33365,1.32893,1.13024,0.83764,0.84043,0.91283,0.60639,1.26876,0.8586,1.09731,6.91298e-05,6.91298e-05,6.91298e-05
33,4863.55,1.3329,1.31253,1.12678,0.8528,0.84439,0.91967,0.6098,1.25427,0.8411,1.08557,6.55856e-05,6.55856e-05,6.55856e-05
34,4919.59,1.33137,1.29444,1.12786,0.85495,0.85808,0.92689,0.62645,1.21177,0.82646,1.06925,6.20414e-05,6.20414e-05,6.20414e-05
35,4975.78,1.32804,1.27616,1.12567,0.86196,0.84793,0.92733,0.62235,1.23492,0.82145,1.0758,5.84972e-05,5.84972e-05,5.84972e-05
36,5032.25,1.32701,1.26039,1.12786,0.86689,0.865,0.9354,0.6493,1.15111,0.79579,1.04864,5.4953e-05,5.4953e-05,5.4953e-05
37,5088.62,1.32828,1.25385,1.12475,0.87517,0.86524,0.93846,0.62118,1.26697,0.80038,1.09038,5.14088e-05,5.14088e-05,5.14088e-05
38,5144.98,1.32346,1.23947,1.12309,0.87994,0.88331,0.94304,0.6405,1.20991,0.77735,1.07097,4.78646e-05,4.78646e-05,4.78646e-05
39,5201.46,1.32215,1.22424,1.12449,0.88781,0.88307,0.94797,0.64516,1.19888,0.77022,1.06465,4.43204e-05,4.43204e-05,4.43204e-05
40,5258.01,1.32341,1.21294,1.12456,0.89657,0.88954,0.95099,0.65177,1.17685,0.75335,1.05581,4.07762e-05,4.07762e-05,4.07762e-05
41,5331.52,1.27887,1.01838,1.18169,0.89583,0.87731,0.95153,0.64219,1.21663,0.75826,1.07192,3.7232e-05,3.7232e-05,3.7232e-05
42,5386.84,1.26964,0.99611,1.17587,0.9065,0.87308,0.9551,0.64091,1.23021,0.75083,1.07503,3.36878e-05,3.36878e-05,3.36878e-05
43,5442.34,1.27115,0.98243,1.17434,0.89636,0.89231,0.95478,0.63719,1.24321,0.748,1.07822,3.01436e-05,3.01436e-05,3.01436e-05
44,5497.94,1.26404,0.96869,1.17143,0.90726,0.88689,0.95794,0.63675,1.25651,0.74348,1.08259,2.65994e-05,2.65994e-05,2.65994e-05
