epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.922,4.7535,7.04993,3.8146,0.00427,0.19707,0.00377,0.00098,3.21395,4.5246,2.83866,5.94465e-05,5.94465e-05,5.94465e-05
2,310.545,2.93273,4.87913,2.3999,0.00788,0.55468,0.01017,0.00303,2.40719,3.58866,1.93809,0.000115182,0.000115182,0.000115182
3,463.86,2.33811,3.96872,1.84959,0.01218,0.86392,0.02458,0.01134,1.88937,3.25031,1.57094,0.00016698,0.00016698,0.00016698
4,617.563,1.9639,3.50949,1.572,0.05081,0.26344,0.05219,0.03022,1.49903,2.84698,1.29682,0.000161279,0.000161279,0.000161279
5,771.83,1.75561,3.15665,1.41933,0.10108,0.25105,0.08131,0.0482,1.45041,2.59122,1.25499,0.000155372,0.000155372,0.000155372
6,924.623,1.64616,2.92536,1.33842,0.10231,0.30401,0.11145,0.06346,1.52813,2.45292,1.25766,0.000149465,0.000149465,0.000149465
7,1076.42,1.5785,2.75044,1.29026,0.13243,0.41776,0.15937,0.1017,1.28653,2.27398,1.14868,0.000143558,0.000143558,0.000143558
8,1230.12,1.53323,2.62082,1.26234,0.16182,0.41226,0.19635,0.10769,1.58906,2.18924,1.25401,0.000137651,0.000137651,0.000137651
9,1382.2,1.50708,2.52065,1.23846,0.18808,0.46276,0.2277,0.15215,1.17744,2.06135,1.09468,0.000131744,0.000131744,0.000131744
10,1535.41,1.48789,2.43403,1.22598,0.20356,0.51448,0.25919,0.17173,1.21189,2.00716,1.09946,0.000125837,0.000125837,0.000125837
11,1688.91,1.46312,2.34607,1.2106,0.253,0.5306,0.29725,0.19819,1.20676,1.91483,1.09568,0.00011993,0.00011993,0.00011993
12,1840.05,1.45368,2.27329,1.20118,0.24348,0.53314,0.32021,0.22417,1.0869,1.86092,1.04653,0.000114023,0.000114023,0.000114023
13,1991.61,1.44768,2.21464,1.19509,0.27368,0.58964,0.35301,0.21683,1.38527,1.79816,1.16376,0.000108116,0.000108116,0.000108116
14,2141.61,1.43407,2.1428,1.19104,0.33292,0.62102,0.40619,0.27118,1.19883,1.6827,1.08394,0.000102209,0.000102209,0.000102209
15,2293.27,1.42274,2.07757,1.18398,0.35903,0.65749,0.44278,0.28992,1.247,1.62398,1.10225,9.6302e-05,9.6302e-05,9.6302e-05
16,2443.64,1.4155,2.01153,1.17856,0.37884,0.68297,0.48086,0.32232,1.18947,1.57044,1.08454,9.0395e-05,9.0395e-05,9.0395e-05
17,2595.5,1.41541,1.96858,1.17572,0.38483,0.66547,0.4972,0.32431,1.24771,1.53072,1.10211,8.4488e-05,8.4488e-05,8.4488e-05
18,2746.47,1.4051,1.91375,1.16991,0.43973,0.70602,0.54555,0.35542,1.25071,1.44741,1.10697,7.8581e-05,7.8581e-05,7.8581e-05
19,2895.86,1.39613,1.87805,1.16956,0.42671,0.70101,0.56017,0.37052,1.22655,1.43922,1.08699,7.2674e-05,7.2674e-05,7.2674e-05
20,3044.33,1.39413,1.83263,1.16421,0.4712,0.7207,0.59773,0.4109,1.13777,1.36085,1.05273,6.6767e-05,6.6767e-05,6.6767e-05
21,3189.55,1.33136,1.64393,1.21814,0.52231,0.6953,0.6289,0.41229,1.25737,1.31256,1.09512,6.086e-05,6.086e-05,6.086e-05
22,3332.76,1.32139,1.59112,1.21158,0.53163,0.70098,0.63551,0.41584,1.24998,1.30249,1.09313,5.4953e-05,5.4953e-05,5.4953e-05
23,3474.56,1.32038,1.54673,1.2138,0.57743,0.72473,0.69136,0.46045,1.22367,1.22198,1.08405,4.9046e-05,4.9046e-05,4.9046e-05
24,3617.89,1.32188,1.51528,1.2084,0.60368,0.71029,0.70648,0.47195,1.22228,1.20289,1.07848,4.3139e-05,4.3139e-05,4.3139e-05
25,3760.02,1.31387,1.47824,1.20475,0.57599,0.74668,0.70953,0.4595,1.28215,1.19564,1.10275,3.7232e-05,3.7232e-05,3.7232e-05
26,3904.53,1.31309,1.46437,1.20845,0.59091,0.76156,0.71926,0.47094,1.26738,1.18187,1.09881,3.1325e-05,3.1325e-05,3.1325e-05
27,4047.83,1.30457,1.43436,1.20275,0.61799,0.73752,0.7285,0.48299,1.23449,1.16059,1.08279,2.5418e-05,2.5418e-05,2.5418e-05
28,4191.41,1.30418,1.42055,1.20101,0.6119,0.75851,0.73504,0.48461,1.25658,1.14951,1.09219,1.9511e-05,1.9511e-05,1.9511e-05
29,4335.03,1.30533,1.41162,1.19849,0.63161,0.75064,0.75432,0.49055,1.28481,1.12907,1.10176,1.3604e-05,1.3604e-05,1.3604e-05
30,4478.57,1.30436,1.40341,1.19798,0.64311,0.73865,0.75318,0.49862,1.24246,1.12643,1.08495,7.697e-06,7.697e-06,7.697e-06
