image,gt_classes,pred_classes,missing_classes,extra_classes,has_false_positive,class_recall,class_precision,class_f1
001783412_jpg.rf.aa0c2e5a6bd0c470228985087588f4b8.jpg,3S|5C|8C,5C|8C,3S,,False,0.6667,1.0000,0.8000
004452289_jpg.rf.52bab83a2eae97597af73bfae5f29d2c.jpg,2C|7H|9D,2C|7D|7H|9D,,7D,True,1.0000,0.7500,0.8571
004843130_jpg.rf.2ae0de70ac4a982addb4702938858c00.jpg,4H|6D|QD,4H|QD,6D,,False,0.6667,1.0000,0.8000
006828683_jpg.rf.03dd56bba8e709493a806da2e2cfe6e1.jpg,2C|9S|KD,9S|JD,2C|KD,JD,True,0.3333,0.5000,0.4000
008090758_jpg.rf.9ee30f33525430423510a9c18c8e7333.jpg,10C|3S|JD,10C|JD,3S,,False,0.6667,1.0000,0.8000
014856104_jpg.rf.49b17b69af19c03305c98d43f8ebb61f.jpg,2S|4D|AH,2S|4D|AH,,,False,1.0000,1.0000,1.0000
016350170_jpg.rf.de0e61289e0eb5eaadafd0586735b435.jpg,2H|AD|KC,AD|KC,2H,,False,0.6667,1.0000,0.8000
016426608_jpg.rf.d30871665b18a6441351009870e560e7.jpg,4D|9S|AC,4D|6S|9S|AC,,6S,True,1.0000,0.7500,0.8571
017037492_jpg.rf.ae2c7f844f3b14261798e0661158d076.jpg,10D|5D|9H,10D|5D|9H,,,False,1.0000,1.0000,1.0000
017733999_jpg.rf.aa735b9a5973330b462ac323c97ea436.jpg,8D|AS|QH,8D|AC,AS|QH,AC,True,0.3333,0.5000,0.4000
019718854_jpg.rf.d73ec2d8253c665b418c80adac2c9de2.jpg,4D|KS|QS,4D|KS,QS,,False,0.6667,1.0000,0.8000
019781284_jpg.rf.31963401f35b87f964289bac2e99ca7e.jpg,10S|AD|KH,10S,AD|KH,,False,0.3333,1.0000,0.5000
021407554_jpg.rf.df6fba73e4a1285ceb5d4263a18ee3d0.jpg,10C|4C|QS,10C|QS,4C,,False,0.6667,1.0000,0.8000
021582997_jpg.rf.85469545d94497326a1773d1c112ca16.jpg,2D|8H|9S,8H,2D|9S,,False,0.3333,1.0000,0.5000
021788350_jpg.rf.9fce1fe75adcc24b6fd82d747e84ed4e.jpg,5C|6C|8D,6C|8D,5C,,False,0.6667,1.0000,0.8000
022103614_jpg.rf.f98d55e70a1fd2e4c23a326559cfbd3b.jpg,3S|8S|AS,8S,3S|AS,,False,0.3333,1.0000,0.5000
028383299_jpg.rf.1454e238f36672f0e8d917dd22ee9bad.jpg,2S|4H|7S,7S,2S|4H,,False,0.3333,1.0000,0.5000
030975137_jpg.rf.d7515118fb3365b22f0fea7ad004e798.jpg,10C|4S|KH,10C|4S|JD,KH,JD,True,0.6667,0.6667,0.6667
035664641_jpg.rf.25106a9026bbbf7c70832cab140445f9.jpg,2S|6C|7C,7C,2S|6C,,False,0.3333,1.0000,0.5000
036426441_jpg.rf.f8afa9d88ab34c95fd863be1f2adaa1d.jpg,6D|JC|KH,JC,6D|KH,,False,0.3333,1.0000,0.5000
036842271_jpg.rf.5838775141ec21e049164c1f844996a1.jpg,2H|6S|KC,2H|6S,KC,,False,0.6667,1.0000,0.8000
039546921_jpg.rf.9a5f41b1d258eae8b374c065c04eb1b8.jpg,3C|AC|QS,AC|QC,3C|QS,QC,True,0.3333,0.5000,0.4000
042106424_jpg.rf.b1d36f08b955ffd2e4571e4eab580d43.jpg,2D|3S|8C,2D|3S|8C,,,False,1.0000,1.0000,1.0000
042156951_jpg.rf.30873d850792e6f41ccb20ae7cc0ee38.jpg,6H|7S|JD,6H|7S|JD,,,False,1.0000,1.0000,1.0000
