epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5368,1.54201,1.5953,1.11761,1,0.33308,0.96786,0.47586,1.71158,2.21103,1.11096,0.000659091,0.000659091,0.000659091
2,77.7951,1.32539,0.73591,1.01582,0.98727,0.97656,0.99419,0.64235,1.27357,0.6437,0.95915,0.00126013,0.00126013,0.00126013
3,113.265,1.31805,0.64411,1.02336,0.99448,0.99294,0.99487,0.64673,1.30894,0.55903,1.02235,0.00179517,0.00179517,0.00179517
4,148.808,1.30748,0.59976,1.02643,0.99663,0.99853,0.99486,0.73451,1.00672,0.47734,0.93503,0.001703,0.001703,0.001703
5,184.28,1.27789,0.56636,1.01527,0.99787,1,0.995,0.75771,0.94382,0.4441,0.91775,0.001604,0.001604,0.001604
6,219.923,1.25777,0.54317,1.01111,0.99816,0.99863,0.99498,0.79168,0.85419,0.41445,0.90346,0.001505,0.001505,0.001505
7,255.439,1.24369,0.52274,1.00361,0.99939,0.99968,0.995,0.73646,1.06859,0.44065,0.94617,0.001406,0.001406,0.001406
8,290.842,1.23099,0.5099,0.99953,0.99923,1,0.99498,0.79484,0.87549,0.40281,0.89985,0.001307,0.001307,0.001307
9,326.497,1.22561,0.50285,1.00064,0.99894,1,0.99488,0.82416,0.77346,0.3814,0.88368,0.001208,0.001208,0.001208
10,361.929,1.21989,0.49029,0.99864,0.99919,1,0.995,0.7809,0.96058,0.39759,0.92155,0.001109,0.001109,0.001109
11,401.401,1.206,0.45989,1.02608,0.99796,0.99969,0.99498,0.80039,0.85971,0.39918,0.90854,0.00101,0.00101,0.00101
12,436.285,1.19818,0.45257,1.02628,0.99838,1,0.995,0.79785,0.87218,0.37968,0.90476,0.000911,0.000911,0.000911
13,471.176,1.18945,0.44221,1.02237,0.99846,0.99842,0.99499,0.80419,0.88495,0.37726,0.90166,0.000812,0.000812,0.000812
14,505.929,1.18063,0.43387,1.01811,0.99967,1,0.995,0.82043,0.82534,0.35433,0.89263,0.000713,0.000713,0.000713
15,540.704,1.17241,0.42738,1.01501,0.99992,1,0.995,0.80286,0.88271,0.37059,0.90333,0.000614,0.000614,0.000614
16,575.536,1.16489,0.42002,1.01477,0.99959,1,0.995,0.79881,0.91365,0.36096,0.91072,0.000515,0.000515,0.000515
17,610.343,1.14498,0.41113,1.00231,0.99907,1,0.99498,0.80826,0.84308,0.35068,0.888,0.000416,0.000416,0.000416
18,645.503,1.1214,0.40378,0.99955,0.99994,1,0.995,0.81076,0.85365,0.34436,0.89215,0.000317,0.000317,0.000317
19,680.793,1.10931,0.39636,0.99712,0.99967,1,0.995,0.83369,0.77668,0.32427,0.8735,0.000218,0.000218,0.000218
20,715.911,1.09125,0.38754,0.98851,0.99982,1,0.995,0.82929,0.79424,0.32511,0.87584,0.000119,0.000119,0.000119
