epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.415,2.26179,4.58539,3.46201,0.35717,0.20578,0.0664,0.04904,1.25444,3.47135,2.35502,0.00332952,0.00332952,0.00332952
2,627.08,0.74122,2.24558,1.45989,0.72911,0.23457,0.32822,0.31128,0.80813,3.01738,1.67047,0.00647439,0.00647439,0.00647439
3,931.3,0.52733,1.54446,1.18837,0.60689,0.78089,0.73854,0.72079,0.23877,1.01631,0.87936,0.00943069,0.00943069,0.00943069
4,1234.89,0.4117,1.03026,1.0721,0.96868,0.96027,0.98226,0.96906,0.1585,0.34763,0.80193,0.00915143,0.00915143,0.00915143
5,1538.5,0.33732,0.77028,1.00691,0.93631,0.92782,0.97717,0.96436,0.15306,0.40158,0.79523,0.00886857,0.00886857,0.00886857
6,1841.72,0.29397,0.6569,0.97446,0.98778,0.98335,0.99172,0.98139,0.12364,0.21926,0.76746,0.00858571,0.00858571,0.00858571
7,2145.62,0.26791,0.59564,0.95272,0.99167,0.99288,0.99367,0.98417,0.11632,0.1883,0.76212,0.00830286,0.00830286,0.00830286
8,2449.08,0.24855,0.55369,0.93459,0.99063,0.99053,0.9935,0.98458,0.10957,0.16171,0.75726,0.00802,0.00802,0.00802
9,2752.81,0.2331,0.5247,0.92249,0.99584,0.99527,0.99402,0.98516,0.10776,0.13642,0.75412,0.00773714,0.00773714,0.00773714
10,3056.46,0.22098,0.49634,0.91569,0.9964,0.99634,0.99413,0.98639,0.09898,0.12407,0.75122,0.00745429,0.00745429,0.00745429
11,3359.94,0.20995,0.47937,0.90627,0.99597,0.99582,0.99402,0.98624,0.09528,0.11681,0.74924,0.00717143,0.00717143,0.00717143
12,3663.12,0.20295,0.46883,0.90183,0.99559,0.9945,0.99408,0.9864,0.08904,0.11659,0.74928,0.00688857,0.00688857,0.00688857
13,3966.66,0.19653,0.45267,0.89496,0.99643,0.99625,0.99426,0.98768,0.09141,0.10253,0.74774,0.00660571,0.00660571,0.00660571
14,4270.09,0.18965,0.4394,0.89259,0.9942,0.99547,0.9938,0.98739,0.08914,0.10205,0.74736,0.00632286,0.00632286,0.00632286
15,4573.41,0.1833,0.41498,0.88795,0.99348,0.99593,0.99357,0.9874,0.08667,0.09616,0.74468,0.00604,0.00604,0.00604
16,4876.52,0.17816,0.40549,0.88502,0.99434,0.99627,0.9941,0.98805,0.08184,0.09166,0.74545,0.00575714,0.00575714,0.00575714
17,5179.73,0.17403,0.39461,0.88046,0.99483,0.99482,0.99428,0.98831,0.08085,0.09035,0.74544,0.00547429,0.00547429,0.00547429
18,5483.1,0.16804,0.38163,0.87912,0.99506,0.99664,0.99413,0.98865,0.08344,0.08758,0.7431,0.00519143,0.00519143,0.00519143
19,5786.61,0.16353,0.36701,0.87519,0.99665,0.99752,0.99436,0.98869,0.08137,0.0864,0.74344,0.00490857,0.00490857,0.00490857
20,6090.18,0.15917,0.35864,0.8721,0.9954,0.99684,0.99427,0.98863,0.07602,0.08349,0.74348,0.00462571,0.00462571,0.00462571
21,6393.7,0.1541,0.34791,0.86942,0.99525,0.9959,0.99428,0.98906,0.07633,0.08102,0.74258,0.00434286,0.00434286,0.00434286
22,6696.94,0.15092,0.34096,0.86732,0.99367,0.9952,0.99409,0.98914,0.07376,0.08258,0.74383,0.00406,0.00406,0.00406
23,7000.3,0.14758,0.33416,0.86605,0.99383,0.99451,0.99379,0.98897,0.07295,0.08199,0.74365,0.00377714,0.00377714,0.00377714
24,7303.46,0.14287,0.32237,0.86165,0.99264,0.99525,0.9936,0.9887,0.07214,0.0803,0.74316,0.00349429,0.00349429,0.00349429
25,7607.18,0.13963,0.31528,0.86156,0.99243,0.99446,0.99344,0.98879,0.07057,0.08033,0.74317,0.00321143,0.00321143,0.00321143
26,7912.29,0.0887,0.13844,0.77888,0.99563,0.99381,0.99432,0.99015,0.06742,0.07893,0.74387,0.00292857,0.00292857,0.00292857
27,8215.65,0.07774,0.12848,0.78249,0.99522,0.99423,0.99421,0.99253,0.05655,0.07982,0.74994,0.00264571,0.00264571,0.00264571
28,8519.01,0.06885,0.10824,0.7852,0.99665,0.99728,0.99431,0.99407,0.05037,0.0739,0.7537,0.00236286,0.00236286,0.00236286
29,8822.32,0.06618,0.10066,0.78418,0.99791,0.99764,0.99442,0.99441,0.04743,0.06846,0.7556,0.00208,0.00208,0.00208
30,9125.39,0.06405,0.09516,0.78335,0.99798,0.99776,0.9944,0.99439,0.04587,0.06537,0.75656,0.00179714,0.00179714,0.00179714
31,9428.4,0.05991,0.08698,0.78222,0.99818,0.99783,0.99446,0.99446,0.04463,0.06273,0.7569,0.00151429,0.00151429,0.00151429
32,9731.55,0.05681,0.08091,0.78178,0.99824,0.99786,0.9945,0.9945,0.04391,0.06115,0.75694,0.00123143,0.00123143,0.00123143
33,10035.3,0.0553,0.07864,0.78005,0.99822,0.99787,0.99448,0.99448,0.04325,0.05999,0.75703,0.000948571,0.000948571,0.000948571
34,10338.3,0.054,0.07747,0.77977,0.99818,0.99781,0.99445,0.99445,0.04275,0.05993,0.75704,0.000665714,0.000665714,0.000665714
35,10641.4,inf,0.07251,0.77819,0.9982,0.9978,0.9945,0.9945,0.04266,0.05943,0.75698,0.000382857,0.000382857,0.000382857
